iter	Logloss
0	0.6712538707
1	0.662139355
2	0.6595738838
3	0.6568406651
4	0.6507229973
5	0.6490837394
6	0.6485535239
7	0.6477325257
8	0.6475187097
9	0.6468282343
10	0.6459400488
11	0.6453230153
12	0.6448220486
13	0.644004844
14	0.643588374
15	0.6426437818
16	0.6422710779
17	0.6418366571
18	0.6414036196
19	0.6411719857
20	0.640766961
21	0.6403792644
22	0.639930009
23	0.6393930592
24	0.6388678438
25	0.638256439
26	0.63784641
27	0.637598349
28	0.6371955293
29	0.6367714683
30	0.6364820224
31	0.6359899235
32	0.6357026225
33	0.6349792528
34	0.6345878507
35	0.6345205849
36	0.6340117505
37	0.633679675
38	0.6334036525
39	0.6332342386
40	0.6327883501
41	0.6325504934
42	0.6321442976
43	0.6317854095
44	0.6313858923
45	0.6313596152
46	0.630977025
47	0.6306952454
48	0.6304957202
49	0.6300581786
50	0.629823018
51	0.6295679497
52	0.6291964244
53	0.6288373784
54	0.6284054585
55	0.6281265573
56	0.6276569216
57	0.6276059816
58	0.6274146061
59	0.6271926678
60	0.6269965196
61	0.62666411
62	0.6263731945
63	0.6262075784
64	0.6260189398
65	0.6256923926
66	0.6255831147
67	0.6253089927
68	0.6248938062
69	0.6247637191
70	0.624572411
71	0.6241324209
72	0.623854004
73	0.6236910696
74	0.6233620448
75	0.6230256543
76	0.6227431325
77	0.6223194917
78	0.6221318544
79	0.6219684349
80	0.621828989
81	0.6216042674
82	0.6213465311
83	0.6210366301
84	0.6207528721
85	0.6204047543
86	0.6201842857
87	0.6200912253
88	0.6197767726
89	0.6196349722
90	0.6191574622
91	0.6188286333
92	0.6186749628
93	0.6185199407
94	0.6180653626
95	0.6178400138
96	0.6176529149
97	0.6174875061
98	0.6172255055
99	0.6170490738
100	0.6169194917
101	0.6165824062
102	0.6164122929
103	0.6162530033
104	0.615802554
105	0.6156471801
106	0.6153539574
107	0.6151668295
108	0.6148310901
109	0.614636251
110	0.6143466477
111	0.6141892889
112	0.6137017193
113	0.6135653331
114	0.6133771027
115	0.6130718982
116	0.6128109083
117	0.6124925633
118	0.612075733
119	0.6119106037
120	0.6117076687
121	0.6114599841
122	0.6112610855
123	0.6111220618
124	0.6109250619
125	0.6107287743
126	0.6106347207
127	0.6104739626
128	0.6102705483
129	0.6100696212
130	0.6098679894
131	0.6096991055
132	0.609567264
133	0.6093855552
134	0.609067145
135	0.608954667
136	0.6086637846
137	0.6085100028
138	0.6082706447
139	0.6081306643
140	0.6078372109
141	0.6077352103
142	0.6075620663
143	0.6073278672
144	0.6071333239
145	0.6069607023
146	0.6067237024
147	0.6067079384
148	0.6066034911
149	0.606323705
150	0.6061665937
151	0.6060185121
152	0.6057981374
153	0.605697882
154	0.6056472283
155	0.6055726168
156	0.605427938
157	0.605241835
158	0.6049809716
159	0.6048450298
160	0.6046954108
161	0.6044683484
162	0.6041940095
163	0.6039833253
164	0.6037747778
165	0.6035369324
166	0.6033044898
167	0.6031112788
168	0.6027823772
169	0.6025270323
170	0.6024585814
171	0.6023026542
172	0.6021571189
173	0.6020493246
174	0.6018965404
175	0.6016313782
176	0.6015249321
177	0.6015091026
178	0.6012648278
179	0.6012360525
180	0.6010890599
181	0.6010804255
182	0.6009788807
183	0.6009101297
184	0.6007629803
185	0.6006534151
186	0.6005048346
187	0.6005044834
188	0.6003960896
189	0.6003160928
190	0.6002597128
191	0.6000798404
192	0.5998762292
193	0.5995213984
194	0.5993115659
195	0.5989996972
196	0.5987098262
197	0.5984484036
198	0.5981539101
199	0.5979772258
